代码,名称,总市值_亿
000951,中国重汽,251.22
000958,电投产融,328.39
000959,首钢股份,269
000960,锡业股份,617.04
000962,东方钽业,299.29
000963,华东医药,508.72
000966,长源电力,176.12
000967,盈峰环境,351.23
000969,安泰科技,239.2
000970,中科三环,135.92
000973,佛塑科技,142.79
000975,山金国际,566.72
000977,浪潮信息,948.01
000980,众泰汽车,135.64
000981,山子高科,341.53
000983,山西焦煤,385.47
000987,越秀资本,402.57
000988,华工科技,1526.77
000990,诚志股份,116.42
000997,新大陆,208.34
000998,隆平高科,111.59
000999,华润三九,406.53
001203,大中矿业,509.33
001213,中铁特货,169.33
001267,汇绿生态,352.6
001270,铖昌科技,298.6
001280,中国铀业,114.57
001286,陕西能源,173.07
001287,中电港,197.5
001289,龙源电力,944.86
001301,尚太科技,162.56
001308,康冠科技,108.9
001309,德明利,1032.49
001330,博纳影业,105.24
001331,胜通能源,137.56
001337,四川黄金,206.35
001339,智微智能,129.51
001389,广合科技,298.62
001696,宗申动力,131.39
001872,招商港口,513.35
001896,豫能控股,249.77
001914,招商积余,102.11
001965,招商公路,682.23
001979,招商蛇口,742.08
002001,新和成,891.93
002007,华兰生物,216.2
002008,大族激光,1261.45
002010,传化智联,146.97
002011,盾安环境,132.13
002015,协鑫能科,379.53
002025,航天电器,295.7
002027,分众传媒,805.87
002028,思源电气,1234.5
002031,巨轮智能,119.41
002032,苏泊尔,360.97
002043,兔宝宝,106.92
002044,美年健康,220.44
002046,国机精工,280.99
002048,宁波华翔,185.05
002049,紫光国微,673.66
002050,三花智控,1707.26
002051,中工国际,135.03
002053,云南能投,106.07
002056,横店东磁,409.67
002063,远光软件,104.18
002064,华峰化学,500.65
002065,东华软件,216.06
002074,国轩高科,572.09
002078,太阳纸业,383.55
002079,苏州固锝,100.92
002080,中材科技,1193.98
002081,金螳螂,162.89
002085,万丰奥威,251.82
002091,江苏国泰,142.72
002092,中泰化学,119.51
002096,易普力,127.02
002120,韵达股份,194.24
002121,科陆电子,116.31
002126,银轮股份,396.47
002128,电投能源,693.77
002129,TCL中环,393.88
002130,沃尔核材,252.21
002131,利欧股份,350.12
002138,顺络电子,380.9
002139,拓邦股份,111.07
002142,宁波银行,2047.81
002145,钛能化学,165.2
002149,西部材料,293.18
002150,正泰电源,112.94
002151,北斗星通,151.18
002152,广电运通,258.64
002153,石基信息,131.66
002155,湖南黄金,379.38
002156,通富微电,1001.52
002157,正邦科技,241.41
002158,汉钟精机,161.4
002167,东方锆业,101.67
002169,智光电气,124.65
002171,楚江新材,192.36
002174,游族网络,110.17
002176,江特电机,200.54
002179,中航光电,763.55
002180,奔图科技,216.01
002181,粤传媒,187.31
002182,宝武镁业,123.68
002183,怡亚通,159.72
002185,华天科技,631.68
002192,融捷股份,210.14
002195,岩山科技,431.04
002202,金风科技,787.73
002203,海亮股份,453.71
002204,大连重工,118.01
002208,合肥城建,137
002217,合力泰,188.53
002222,福晶科技,470.77
002223,鱼跃医疗,249.05
002226,江南化工,134.83
002230,科大讯飞,1048.67
002236,大华股份,399.08
002237,恒邦股份,160.49
002240,盛新锂能,414.92
002241,歌尔股份,843.32
002243,力合科创,109.1
002244,滨江集团,286.23
002245,蔚蓝锂芯,332.24
002246,北化股份,119.03
002249,大洋电机,159.75
002250,联化科技,127.53
002251,步步高,105.04
002252,上海莱士,352.25
002254,泰和新材,114.75
002261,拓维信息,340.16
002262,恩华药业,179.35
002265,建设工业,211.26
002266,浙富控股,249.39
002268,电科网安,119.6
002270,华明装备,199.59
002271,东方雨虹,260.95
002273,水晶光电,536.11
002276,万马股份,119.44
002281,光迅科技,1589.79
002283,天润工业,112.22
002287,奇正藏药,120.18
002290,禾盛新材,224.13
002294,信立泰,372.49
002297,博云新材,118.12
002299,圣农发展,207.1
002304,洋河股份,683.76
002310,东方新能,128.45
002311,海大集团,769.96
002312,川发龙蟒,170.49
002317,众生药业,179.28
002318,久立特材,224.54
002320,海峡股份,170.37
002326,永太科技,167.29
002335,科华数据,257.69
002338,奥普光电,133.8
002340,格林美,395.93
002342,巨力索具,107.88
002348,高乐股份,138.87
